"","Areaname","STCOU","LND010190F","LND010190D","LND010190N1","LND010190N2","LND010200F","LND010200D","LND010200N1","LND010200N2","LND110180F","LND110180D","LND110180N1","LND110180N2","LND110190F","LND110190D","LND110190N1","LND110190N2","LND110200F","LND110200D","LND110200N1","LND110200N2","LND110210F","LND110210D","LND110210N1","LND110210N2","LND210190F","LND210190D","LND210190N1","LND210190N2","LND210200F","LND210200D","LND210200N1","LND210200N2"
"54","Morgan, AL","01103",0,599.09,"0000","0000",0,599.06,"0000","0000",0,575.25,"0000","0000",0,582.25,"0000","0000",0,582.21,"0000","0000",0,579.34,"0000","0000",0,16.84,"0000","0000",0,16.84,"0000","0000"
"55","Perry, AL","01105",0,724.13,"0000","0000",0,724.08,"0000","0000",0,718.49,"0000","0000",0,719.54,"0000","0000",0,719.48,"0000","0000",0,719.66,"0000","0000",0,4.59,"0000","0000",0,4.59,"0000","0000"
"56","Pickens, AL","01107",0,890.1,"0000","0000",0,890.05,"0000","0000",0,889.64,"0000","0000",0,881.46,"0000","0000",0,881.42,"0000","0000",0,881.41,"0000","0000",0,8.64,"0000","0000",0,8.63,"0000","0000"
"57","Pike, AL","01109",0,672.15,"0000","0000",0,672.1,"0000","0000",0,672.23,"0000","0000",0,671.09,"0000","0000",0,671.03,"0000","0000",0,672.09,"0000","0000",0,1.06,"0000","0000",0,1.06,"0000","0000"
"58","Randolph, AL","01111",0,584.15,"0000","0000",0,584.11,"0000","0000",0,584.48,"0000","0000",0,581.09,"0000","0000",0,581.05,"0000","0000",0,580.55,"0000","0000",0,3.06,"0000","0000",0,3.06,"0000","0000"
"59","Russell, AL","01113",0,647.44,"0000","0000",0,647.38,"0000","0000",0,633.78,"0000","0000",0,641.14,"0000","0000",0,641.32,"0000","0000",0,641.14,"0000","0000",0,6.3,"0000","0000",0,6.06,"0000","0000"
"60","St. Clair, AL","01115",0,653.66,"0000","0000",0,653.61,"0000","0000",0,646.06,"0000","0000",0,633.99,"0000","0000",0,633.75,"0000","0000",0,631.9,"0000","0000",0,19.67,"0000","0000",0,19.86,"0000","0000"
"61","Shelby, AL","01117",0,809.6,"0000","0000",0,809.53,"0000","0000",0,800.48,"0000","0000",0,794.92,"0000","0000",0,794.69,"0000","0000",0,784.93,"0000","0000",0,14.68,"0000","0000",0,14.83,"0000","0000"
"62","Sumter, AL","01119",0,913.35,"0000","0000",0,913.3,"0000","0000",0,907.12,"0000","0000",0,904.98,"0000","0000",0,904.94,"0000","0000",0,903.89,"0000","0000",0,8.37,"0000","0000",0,8.37,"0000","0000"
"63","Talladega, AL","01121",0,760.32,"0000","0000",0,760.25,"0000","0000",0,753,"0000","0000",0,739.6,"0000","0000",0,739.53,"0000","0000",0,736.78,"0000","0000",0,20.72,"0000","0000",0,20.72,"0000","0000"
"64","Tallapoosa, AL","01123",0,766.3,"0000","0000",0,766.23,"0000","0000",0,701.27,"0000","0000",0,718.04,"0000","0000",0,717.93,"0000","0000",0,716.52,"0000","0000",0,48.26,"0000","0000",0,48.3,"0000","0000"
"65","Tuscaloosa, AL","01125",0,1352.03,"0000","0000",0,1351.23,"0000","0000",0,1336.28,"0000","0000",0,1325.27,"0000","0000",0,1324.37,"0000","0000",0,1321.76,"0000","0000",0,26.76,"0000","0000",0,26.85,"0000","0000"
"66","Walker, AL","01127",0,805.36,"0000","0000",0,805.3,"0000","0000",0,803.57,"0000","0000",0,794.45,"0000","0000",0,794.39,"0000","0000",0,791.19,"0000","0000",0,10.91,"0000","0000",0,10.91,"0000","0000"
"67","Washington, AL","01129",0,1088.62,"0000","0000",0,1088.54,"0000","0000",0,1080.82,"0000","0000",0,1080.73,"0000","0000",0,1080.66,"0000","0000",0,1080.21,"0000","0000",0,7.89,"0000","0000",0,7.89,"0000","0000"
"68","Wilcox, AL","01131",0,907.54,"0000","0000",0,907.46,"0000","0000",0,883.14,"0000","0000",0,888.76,"0000","0000",0,888.68,"0000","0000",0,888.5,"0000","0000",0,18.78,"0000","0000",0,18.78,"0000","0000"
"69","Winston, AL","01133",0,631.9,"0000","0000",0,631.86,"0000","0000",0,613.4,"0000","0000",0,614.48,"0000","0000",0,614.44,"0000","0000",0,612.98,"0000","0000",0,17.42,"0000","0000",0,17.42,"0000","0000"
"70","ALASKA","02000",0,656424.14,"0000","0000",0,663267.26,"0000","0000",0,570833,"0000","0000",0,570373.55,"0000","0000",0,571951.26,"0000","0000",0,570640.95,"0000","0000",0,86050.59,"0000","0000",0,91316,"0000","0000"
"71","Aleutians East, AK","02013",0,15011.77,"0000","0000",0,15011.6,"0000","0000",2,0,"5080","0000",0,6984.75,"0000","0000",0,6988.14,"0000","0000",0,6981.94,"0000","0000",0,8027.02,"0000","0000",0,8023.46,"0000","0000"
"72","Aleutians West, AK","02016",0,14114.7,"0000","0000",0,14116.51,"0000","0000",1,10890,"5080","0000",0,4402.11,"0000","0000",0,4396.77,"0000","0000",0,4390.28,"0000","0000",0,9712.59,"0000","0000",0,9719.74,"0000","0000"
